"id","question","ground_truth","expected_context_keywords","answer","relevancy","faithfulness","recall","precision"
"1","What is the bulsu mission and vision?","Mission: Bulacan State University exists to produce highly competent, ethical and service-oriented professionals that contribute to the sustainable socio-economic growth and development of the nation. Vision: Bulacan State University is a progressive knowledge-generating institution globally recognized for excellent instruction, pioneering research, and responsive community engagements.","Bulacan State University exists to produce highly competent, ethical and service-oriented professionals that contribute to the sustainable socio-economic growth and development of the nation.Bulacan State University is a progressive knowledge-generating institution globally recognized for excellent instruction, pioneering research, and responsive community engagements.Mission, Vision","Bulacan State University (BulSU) Mission and Vision are as follows:

**Vision:**
Bulacan State University is a progressive knowledge-generating institution globally recognized for excellent instruction, pioneering research, and responsive community engagements.

**Mission:**
Bulacan State University exists to produce highly competent, ethical, and service-oriented professionals that contribute to the sustainable socio-economic growth and development of the nation.

Note: Both the Vision and Mission appear in all admission documents, and it's also mentioned in the BulSU Student Handbook.","0.9","0.7","1.0","1.0"
"2","What is the cict mission and vision?","VISION: Excellence in producing globally competitive graduates in the field of Information and Communications Technology responsive to the changing needs of the society.MISSION: To provide quality education by ensuring efficient and effective delivery of instruction through appropriate adoption of technological innovation and research in carrying out extension services.","To provide quality education by ensuring efficient and effective delivery of instruction through appropriate adoption of technological innovation and research in carrying out extension services.Excellence in producing globally competitive graduates in the field of Information and Communications Technology responsive to the changing needs of the society. College of Information and Communications Technology, CICT, Mission, Vision","**CICT Mission and Vision**

The College of Information and Communications Technology (CICT) of Bulacan State University (BulSU) has a clear mission and vision to guide its operations and goals.

**Mission:**
To provide quality education by ensuring efficient and effective delivery of instruction through appropriate adoption of technological innovation and research in carrying out extension services.

**Vision:**
To produce globally competitive graduates by providing comprehensive programs and up-to-date training.

The CICT aims to achieve its mission and vision through the following goals:

1. Produce globally competitive graduates by providing comprehensive programs and up-to-date training.
2. Sustain faculty and staff development through relevant seminars, workshops, and scholarship programs.
3. To provide students with holistic training by introducing new technologies in Information and Communication Technology and allowing them to experience the actual workspace environment.
4. To inculcate discipline towards the achievements of professional competencies, integrity, moral, and ethical values.","0.9","0.5","1.0","1.0"
"3","What are the programs offered under the College of Information and Communications Technology?","Bachelor of Library and Information Science (BLIS), Bachelor of Science in Information System (BSIS), and Bachelor of Science in Information Technology (BSIT)","BLIS, BSIS, BSIT, Library, Library and Information Science, Information System, Information Technology, Bachelor of Science","**Programs Offered under the College of Information and Communications Technology (CICT)**

The College of Information and Communications Technology (CICT) at Bulacan State University (BulSU) offers the following programs:

• **Bachelor of Library and Information Science (BLIS)**
• **Bachelor of Science in Information System (BSIS)**
• **Bachelor of Science in Information Technology (BSIT)**

These programs aim to equip students with the knowledge and skills necessary to succeed in the field of Information and Communications Technology.","0.9","1.0","0.0","0.0"
"4","What are the different tracks or specializations offered in BSIT?","Data and Business Analytics, Infrastructure Services, Web and Mobile Applications Development.","Data and Business Analytics, Infrastructure Services, Web and Mobile Applications Development","The different tracks or specializations offered in BSIT (Bachelor of Science in Information Technology) at Bulacan State University (BulSU) are:

**New Curriculum:**

1. **Data and Business Analytics**
2. **Infrastructure Services**
3. **Web and Mobile Applications Development**

**Old Curriculum:**

1. **Business Analytics**
2. **Service Management**
3. **Web and Mobile Applications Development**

These tracks or specializations are designed to provide students with in-depth knowledge and skills in specific areas of IT, enabling them to pursue various career paths in the field.","0.8","1.0","1.0","1.0"
"5","Who is the dean of CICT?","The dean of the BulSU College of Information and Communications Technology is Dr. Digna S. Evale.","Dr. Digna S. Evale, dean, College of Information and Communications Technology, BulSU","Dr. Digna S. Evale is the Dean of CICT.

 
● Dr. Digna S. Evale - Dean, CICT","1.0","0.2","1.0","0.0"
"6","Campuses that offer Bachelor of Science in Information Technology (BSIT)?","The Bachelor of Science in Information Technology (BSIT) program is available at Bulacan State University's Main Campus, as well as in the Bustos, Meneses, Sarmiento, and Hagonoy Campuses. However, the BSIT program is not offered at the San Rafael Campus.","Main Campus, Bustos, Meneses, Sarmiento, Hagonoy, San Rafael, not offered","**Campuses that offer Bachelor of Science in Information Technology (BSIT)**

The BSIT program is offered in the following Bulacan State University (BulSU) campuses:

1. BulSU Main Campus
2. Bustos Campus
3. Meneses Campus
4. Sarmiento Campus
5. Hagonoy Campus

Note that the BSIT program is not offered at the San Rafael Campus.","0.8","1.0","1.0","1.0"
"7","What is a shiftee?","Shiftee is a student of BulSU who intends to change program or curriculum","student, BulSU, change program, curriculum, Shiftee, shift, different program or course","A **shiftee** is a student of Bulacan State University (BulSU) who intends to change their program or curriculum. For example, a student who wants to shift from Education to Engineering or from Engineering to Architecture is considered a shiftee.

**Key Points to Remember:**

*   A shiftee is a BulSU student who wants to change their program.
*   Shifting is allowed for specific cases, such as:
    *   First semester of each academic year
    *   Incoming second- and third-year students from the same campus
    *   Incoming 3rd year students from external campuses enrolling in the main campus or vice versa.","1.0","0.9","1.0","0.6"
"8","What is a transferee?","Transferee is a student from another recognized institution of higher learning and is officially allowed to enroll in the same or another program in the University.","student, another institution, higher learning, enroll, University, another program, Transferee","A transferee is defined as a student from another recognized institution of higher learning who is officially allowed to enroll in the same or another program in Bulacan State University (BulSU).

In other words, a transferee is a student who is transferring from one university to another university, in this case, BulSU.","0.9","1.0","1.0","0.0"
"9","What is a returnee?","Returnee is a student who was previously enrolled at the University and discontinued studies for one semester or longer for valid reasons","student, previously enrolled, discontinue, semester, reasons","**Returnee Definition**

According to the 2023 Enhanced BulSU Guidelines on Admission for Shiftees, Transferees, Returnees, and Second Undergraduate Degree Takers, a **Returnee** is:

A student who was previously enrolled at the University and opted to discontinue his/her studies for one semester or longer for valid reason/s (with or without filing the Leave of Absence or LOA).

(Note: Returnees are students who temporarily left the university and are seeking to return to their previous program of study.)","1.0","1.0","0.9","1.0"
"10","What is a LOA?","Leave of Absence","Leave of Absence","A Leave of Absence (LOA) is a period of temporary discontinuation of studies by a student.

To request a LOA, follow these procedures:

1. Request a LOA Form at the Office of the Registrar.
2. Fill out the form clearly and follow instructions stated on the form.
3. After completing all requirements, return the copy of LOA form to the Office of the Registrar.

A returning student shall do the following procedures:

1. Student must personally appear to the Office of the Registrar and request for readmission. He/she may show the photocopy of LOA for fast tracking purposes.
2. The Registrar will issue a Readmission Slip to the student. The student shall personally give the slip to the dean or his authorized representative. The dean shall not deny readmitted student to enroll.","0.9","1.0","0.9","0.9"
